DATE,MONTH,ROMA_cloud_cover,ROMA_humidity,ROMA_pressure,ROMA_global_radiation,ROMA_sunshine,ROMA_temp_mean,ROMA_temp_min,ROMA_temp_max
20000101,1,0,0.72,1.0244,0.92,8.4,1.6,3.0,8.0
20000102,1,2,0.74,1.0263,0.81,6.5,4.2,0.0,8.4
20000103,1,0,0.77,1.0288,0.89,0.0,3.8,11.1,21.1
20000104,1,1,0.85,1.0273,0.89,8.2,6.0,2.0,10.0
20000105,1,2,0.92,1.0238,0.74,7.5,5.0,-1.2,11.2
20000106,1,0,0.89,1.0246,0.86,8.0,5.4,0.0,10.8
20000107,1,3,0.89,1.0245,0.87,6.8,6.7,2.2,11.2
20000108,1,5,0.9,1.0245,0.62,3.0,6.2,0.8,11.6
20000109,1,7,0.88,1.0236,0.26,0.0,7.0,4.2,9.8
20000110,1,5,0.85,1.0264,0.81,6.3,8.5,3.8,13.2
20000111,1,3,0.89,1.0301,0.75,6.2,6.0,2.0,10.0
20000112,1,7,0.92,1.0281,0.27,1.0,5.5,11.1,21.1
20000113,1,7,0.93,1.0222,0.25,1.5,6.4,11.1,21.1
20000114,1,7,0.77,1.0168,0.27,0.2,9.4,11.1,21.1
20000115,1,7,0.8,1.0213,0.71,4.0,8.5,4.6,12.4
20000116,1,4,0.86,1.0221,0.88,6.2,6.3,1.8,10.8
20000117,1,4,0.71,1.0188,0.97,7.4,4.5,11.1,21.1
20000118,1,3,0.87,1.0088,0.88,6.7,6.3,0.8,11.8
20000119,1,1,0.55,1.014,1.08,8.6,5.8,0.2,11.4
20000120,1,1,0.58,1.0267,1.01,8.8,2.7,3.0,10.4
20000121,1,6,0.92,1.0194,0.33,1.0,6.7,11.1,21.1
20000122,1,4,0.93,1.0135,0.36,1.2,4.9,11.1,21.1
20000123,1,6,0.85,0.9999,0.48,3.0,5.5,11.1,21.1
20000124,1,1,0.7,1.0105,1.07,8.4,4.6,1.2,8.0
20000125,1,2,0.64,1.022,1.01,7.8,0.7,3.8,6.0
20000126,1,5,0.82,1.0298,0.56,3.0,0.5,4.0,5.8
20000127,1,0,0.8,1.0333,1.11,8.9,1.2,3.6,8.0
20000128,1,4,0.91,1.0274,0.44,1.7,1.7,11.1,21.1
20000129,1,7,0.95,1.0217,0.47,2.7,7.9,11.1,21.1
20000130,1,3,0.85,1.0196,1.09,8.4,9.0,3.8,14.2
20000131,1,3,0.92,1.028,0.51,2.2,7.3,1.2,13.4
20000201,2,7,0.91,1.0295,0.58,2.7,10.4,7.2,13.6
20000202,2,6,0.91,1.0241,0.57,1.7,9.3,11.1,21.1
20000203,2,6,0.95,1.0213,0.24,8.4,9.9,11.1,21.1
20000204,2,1,0.67,1.0323,1.11,6.8,8.0,2.4,13.6
20000205,2,1,0.68,1.0347,1.26,9.0,6.6,0.8,12.4
20000206,2,0,0.86,1.0311,1.23,9.0,6.9,0.6,13.2
20000207,2,4,0.88,1.0269,0.88,3.4,6.6,1.0,12.2
20000208,2,6,0.92,1.0232,0.54,1.4,8.3,11.1,21.1
20000209,2,6,0.9,1.0148,0.62,3.0,10.8,11.1,21.1
20000210,2,2,0.45,1.017,1.37,8.7,8.5,4.0,13.0
20000211,2,2,0.74,1.0215,1.26,8.5,7.0,0.2,13.8
20000212,2,7,0.9,1.0219,0.62,1.8,7.1,11.1,21.1
20000213,2,2,0.81,1.0214,1.33,8.5,8.1,2.8,13.4
20000214,2,2,0.79,1.0203,1.29,8.1,9.0,2.4,15.6
20000215,2,5,0.9,1.0211,0.73,3.0,7.1,1.6,12.6
20000216,2,6,0.89,1.0119,0.92,4.7,11.6,11.1,21.1
20000217,2,7,0.76,1.0035,1.18,4.5,7.0,11.1,21.1
20000218,2,1,0.62,1.0147,1.51,9.7,4.8,11.1,21.1
20000219,2,7,0.83,1.0101,0.97,5.7,9.7,11.1,21.1
20000220,2,2,0.79,1.0099,1.53,8.8,8.5,2.6,14.4
20000221,2,2,0.56,1.0208,1.54,9.5,7.2,1.6,12.8
20000222,2,4,0.77,1.0237,1.2,6.4,5.6,0.0,11.2
20000223,2,2,0.77,1.0233,1.48,8.9,5.7,0.2,11.2
20000224,2,1,0.64,1.0275,1.59,9.5,5.1,11.1,21.1
20000225,2,1,0.76,1.0308,1.55,9.8,5.6,11.1,21.1
20000226,2,8,0.91,1.03,0.58,0.0,9.4,5.6,13.2
20000227,2,6,0.88,1.0296,0.91,1.8,10.5,6.4,14.6
20000228,2,3,0.82,1.031,1.52,8.0,10.2,4.6,15.8
20000229,2,3,0.84,1.0296,1.21,5.4,8.7,3.0,14.4
20000301,3,7,0.89,1.0159,0.59,1.0,10.5,11.1,21.1
20000302,3,5,0.78,1.009,0.82,3.2,10.2,11.1,21.1
20000303,3,2,0.65,1.0229,1.8,10.0,7.8,1.0,14.6
20000304,3,7,0.81,1.0192,0.95,1.7,11.9,11.1,21.1
20000305,3,4,0.75,1.021,1.66,9.7,12.1,7.0,17.2
20000306,3,5,0.76,1.0335,1.44,7.0,8.9,4.6,13.2
20000307,3,2,0.81,1.0319,1.56,8.7,8.1,2.2,14.0
20000308,3,3,0.8,1.0293,1.7,8.8,9.6,3.8,15.4
20000309,3,2,0.83,1.0277,1.73,9.6,9.3,3.4,15.2
20000310,3,8,0.89,1.0218,0.57,0.0,12.1,9.6,14.6
20000311,3,7,0.87,1.0211,0.65,0.2,12.1,9.6,14.6
20000312,3,6,0.83,1.0195,0.7,1.0,11.9,8.8,15.0
20000313,3,5,0.83,1.0231,1.22,3.2,11.6,11.1,21.1
20000314,3,4,0.85,1.0232,1.54,7.0,11.7,6.4,17.0
20000315,3,7,0.87,1.0163,1.08,2.2,13.2,10.2,16.2
20000316,3,2,0.62,1.0166,2.11,10.6,11.3,5.4,17.2
20000317,3,3,0.77,1.0166,1.99,9.6,9.3,3.6,15.0
20000318,3,3,0.83,1.0143,1.65,8.4,10.9,5.0,16.8
20000319,3,5,0.7,1.0215,1.09,4.1,9.0,11.1,21.1
20000320,3,8,0.9,1.0219,0.2,0.0,6.1,11.1,21.1
20000321,3,2,0.73,1.0215,2.13,10.5,7.6,1.0,14.2
20000322,3,1,0.8,1.0227,1.92,9.5,8.9,2.8,15.0
20000323,3,1,0.82,1.0218,2.16,10.0,9.3,3.0,15.6
20000324,3,6,0.84,1.0198,1.19,1.0,10.0,11.1,21.1
20000325,3,8,0.92,1.0189,0.58,0.0,10.7,11.1,21.1
20000326,3,6,0.88,1.0158,1.77,7.5,12.4,11.1,21.1
20000327,3,6,0.85,1.0101,1.16,2.2,11.7,11.1,21.1
20000328,3,7,0.8,1.0092,0.9,0.0,13.0,11.1,21.1
20000329,3,7,0.85,1.0101,0.89,2.7,12.4,11.1,21.1
20000330,3,4,0.77,1.0168,2.09,10.2,10.1,5.6,14.6
20000331,3,5,0.7,1.0125,2.05,8.2,11.0,4.8,17.2
20000401,4,5,0.79,1.0063,1.87,7.4,11.9,11.1,21.1
20000402,4,4,0.74,1.0095,2.01,7.2,11.3,11.1,21.1
20000403,4,7,0.64,0.9997,0.63,0.0,16.0,11.1,21.1
20000404,4,7,0.91,0.999,0.62,0.2,13.1,11.1,21.1
20000405,4,5,0.86,1.0037,1.84,7.5,12.9,11.1,21.1
20000406,4,5,0.85,1.0127,2.33,10.4,12.6,11.1,21.1
20000407,4,2,0.69,1.018,2.43,11.0,11.8,5.6,18.0
20000408,4,3,0.7,1.0214,2.55,10.0,10.4,4.8,16.0
20000409,4,7,0.76,1.0148,0.76,0.0,10.4,11.1,21.1
20000410,4,8,0.9,1.0062,0.44,0.0,11.6,11.1,21.1
20000411,4,7,0.91,1.0028,1.09,1.1,12.7,11.1,21.1
20000412,4,5,0.86,1.0044,2.06,9.5,12.7,8.4,17.0
20000413,4,4,0.83,1.0103,2.2,7.0,14.6,10.6,18.6
20000414,4,6,0.68,1.0091,1.58,1.0,15.2,10.2,20.2
20000415,4,5,0.73,1.0065,2.28,10.2,16.0,12.0,20.0
20000416,4,4,0.76,1.0099,2.05,5.8,14.8,9.0,20.6
20000417,4,7,0.69,1.0036,1.58,2.3,16.9,11.0,22.8
20000418,4,8,0.9,1.0049,0.63,0.0,14.1,11.1,21.1
20000419,4,6,0.81,1.0065,1.91,3.5,14.7,10.4,19.0
20000420,4,5,0.81,1.009,2.24,7.4,15.7,8.8,22.6
20000421,4,1,0.74,1.0138,2.6,11.6,19.4,11.6,27.2
20000422,4,3,0.88,1.0179,1.96,6.3,16.7,12.4,21.0
20000423,4,4,0.87,1.0162,2.11,6.9,16.2,10.0,22.4
20000424,4,7,0.77,1.0136,1.69,7.5,14.1,11.4,16.8
